Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
433,@433,2024-10-12T21:36:16.000Z,True,Ronaldo stopped the security so a pitch invader was able to take a selfie ,94,407,8.3K,113K,[],[],"['\\u2764\\ufe0f', '\\U0001f933']",https://pbs.twimg.com/profile_images/1763123099866681344/ZYNi6xH3_normal.jpg,https://x.com/433/status/1845216943185518687,tweet_id:1845216943185518687
DiscussingFilm,@DiscussingFilm,2024-10-12T23:52:13.000Z,True,"31 years ago today, Henry Selick’s ‘THE NIGHTMARE BEFORE CHRISTMAS’ released in theaters.",82,854,5.5K,182K,[],[],[],https://pbs.twimg.com/profile_images/1706429397467549696/hmvwfChQ_normal.jpg,https://x.com/DiscussingFilm/status/1845251154801762433,tweet_id:1845251154801762433
kira,@kirawontmiss,2024-10-12T16:13:24.000Z,True,realest thing ever,410,3.7K,36K,1M,[],[],[],https://pbs.twimg.com/profile_images/1636443983990669326/xm-YehdR_normal.jpg,https://x.com/kirawontmiss/status/1845135692730446034,tweet_id:1845135692730446034
Fabrizio Romano,@FabrizioRomano,2024-10-12T17:06:50.000Z,True," Manchester United have been in talks with Kobbie Mainoo’s camp for months… as new deal remains one of the top priorities.

No agreement done/set to be signed yet, more steps to do as talks continue with Man United convinced to get it done soon. Kobbie, very happy at #MUFC.",584,1.6K,22K,1M,['#MUFC'],[],"['\\U0001f6a8', '\\U0001f534']",https://pbs.twimg.com/profile_images/1741753635158024192/j0m8Ucvv_normal.jpg,https://x.com/FabrizioRomano/status/1845149140088393898,tweet_id:1845149140088393898
433,@433,2024-10-12T21:36:16.000Z,True,Ronaldo stopped the security so a pitch invader was able to take a selfie ,94,407,8.3K,113K,[],[],"['\\u2764\\ufe0f', '\\U0001f933']",https://pbs.twimg.com/profile_images/1763123099866681344/ZYNi6xH3_normal.jpg,https://x.com/433/status/1845216943185518687,tweet_id:1845216943185518687
DiscussingFilm,@DiscussingFilm,2024-10-12T23:52:13.000Z,True,"31 years ago today, Henry Selick’s ‘THE NIGHTMARE BEFORE CHRISTMAS’ released in theaters.",82,854,5.5K,182K,[],[],[],https://pbs.twimg.com/profile_images/1706429397467549696/hmvwfChQ_normal.jpg,https://x.com/DiscussingFilm/status/1845251154801762433,tweet_id:1845251154801762433
non aesthetic things,@PicturesFoIder,2024-10-12T13:42:07.000Z,True,Getting older is realizing why Peter Parker really took his mask off,814,5.9K,100K,12M,[],[],['\\U0001f633'],https://pbs.twimg.com/profile_images/989513875124117504/UNMIb20k_normal.jpg,https://x.com/PicturesFoIder/status/1845097621779521933,tweet_id:1845097621779521933
Wesley Snipes,@wesleysnipes,2024-10-12T20:51:19.000Z,True,Another trip around the sun for the legend   happy birthday!,200,2.3K,39K,488K,[],['@RealHughJackman'],"['\\U0001f64f\\U0001f3ff', '\\u2600\\ufe0f']",https://pbs.twimg.com/profile_images/1382524154168020992/zZZbDV_M_normal.jpg,https://x.com/wesleysnipes/status/1845205633148322114,tweet_id:1845205633148322114
The Times Of India,@timesofindia,2024-10-12T10:30:00.000Z,True,"A 35-year-old woman who had hired a hitman to kill her 17-year-old daughter as she was ""fed up with the teen's behaviour"" ended up being murdered by the man. He turned out to be the girl's lover.

More details  http://toi.in/8U788a #Agra #UttarPradesh",199,715,2.3K,185K,"['#Agra', '#UttarPradesh']",[],['\\U0001f517'],https://pbs.twimg.com/profile_images/1619701646027792385/atwP27sC_normal.png,https://x.com/timesofindia/status/1845049273156620484,tweet_id:1845049273156620484
Why you should have a cat,@ShouldHaveCat,2024-10-12T13:21:47.000Z,True,He's living his best life ,190,4.3K,37K,778K,[],[],"['\\U0001f63b', '\\U0001f63b']",https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://x.com/ShouldHaveCat/status/1845092503071887650,tweet_id:1845092503071887650
